time,chat
07,일단 본업이 2회에서 4회로 늘었는데 막이방송은 어케 할꺼임?? 계획은 있음?
07,저쪽 얘기는 저쪽에 질문해주세요
07,ㅋㅋㅋㅋㅋㅋㅋ
07,ㅋㅋㅋ
07,틈새시장임??
07,흠?
07,아하
08,에헤이
08,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
08,자아붕괴?
08,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
08,정신 나갈것같애~
08,집에서 3d캐릭터 어찌만듬
08,스위치 하나 누르면 변신하누
08,듀얼코어 ㅋㅋㅋ
08,안빡빢하겟음???
08,ㅋㅋㅋㅋ
08,진짜 2중인격이네
08,ㅋㅋㅋㅋㅋㅋㅋㅋ
08,하루에도 인격이 ㅋㅋ
08,이중인격
08,오늘방송알찼다! 방송하러가자!ㅋㅋㅋ
08,투잡~~
08,진짜 궁금해서 묻는데요.. 가끔.. 자기 자긴 말할 때 호요리는 막이는 이거 안 헷갈려요??
08,엄청 빡빡할꺼같은데
08,재택근무의 폐해...
08,어 유희왕이다
08,??막이님 ㄹㅇ로 호요리님임??
08,점심 나가서 먹을것가태
08,호요리님에게 호스팅하고 방종하나요? ㅋㅋㅋ
08,분열된 자아
08,ㅋㅋㅋㅋㅋㅋ
08,ㅋㅋㅋㅋ
09,ㄹㅇㅋㅋ
09,도!막!호!
09,ㅋㅋㅋㅋㅋㅋㅋㅋ
09,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
09,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
09,나중에 동시에 켜줘요 막이랑 호요리랑
09,ㅋㅋㅋㅋ
09,도!막!호!
09,이제 커가는데...
09,글킨한데 흐흠....
09,이번달만
09,마카~~
09,막하막하
09,켠왕때문이야 그게다
09,빡시게 하고
09,영상 많이 뽑아놔야됨 ㅋㅋ
10,ㅋㅋㅋㅋㅋㅋ
10,ㅋㅋ
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,헛둘헛둘!!
10,ㅋㅋㅋㅋㅋㅋㅋㅋ
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,자전거가 운동됩니다
10,헐...............
10,에너지를 몇분할해야하는거야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,몸을 안움직이다 움직여서 그런듯
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,?
10,ㅋㅋ
10,???
10,ㅋㅋㅋㅋㅋㅋㅋ
10,파쿠르?
10,ㅋㅋㅋㅋㅋㅋㅋㅋ
10,파쿠르????
10,구름???
10,담날 다리 작살나실텐데...
10,두시간 힘들게 타면 치킨 칼로리 빠지던데
10,아 ㅋㅋㅋㅋ
10,??
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,파쿠르??
10,막하
